nouseva numero,kortin numero,sana1,sana2,sana3,sana4,sana5,sana6,random numero
1,1,Gilgamesh (Fate tai Gilgamesh-mytologia),Pukuhuone,Club Sega,Joker (Persona 5),Kahvi,Taikaisku,5
2,1,Butler,Pakkomielle,RPG,Matcha,Silmälappuhaave,Ganondorf (The Legend of Zelda),5
3,2,Kylpylä,Nen,Värilinssit,Striimaus,Neon genesis evangelion,Opiskelijakunta,1
4,2,Rakkauden voima,Shanks (One Piece),Drop-rate,Melonpan,Scar (Fullmetal Alchemist),Chobits,6
5,3,Riisiviinietikka,lonkerot,Tracon,Overlord,Guilty Crown,Nakano Broadway,4
6,3,Aamupala,Death note,Okonomiyaki,Uusi elämä,Cyberpunk,Kissabussi,2
7,4,Equivalent exchange,Gari,Zombie,Cardcaptor Sakura,Makuasia,Hokkaido,5
8,4,Kazuha (Genshin Impact),Kilpi,Asuka (Neon Genesis Evangelion),King Dedede (Kirby),Kabuki,Steampunk,6
9,5,Mermaid,Kawaii,Turri,Automail,Stand,Osu!,6
10,5,Komeat miehet,Joey (Yu-Gi-Oh!),Ness (EarthBound / EarthBound Beginnings),Sipsit,Haikyu!!,Yoshi,1
11,6,Anby (Zenless Zone Zero),Whale,Kiitollisuus,Kuumat lähteet,Happi (vaate) ,FFFight,5
12,6,Tokio,Hero (Dragon Quest),Otaku,Envy (Fullmetal Alchemist),Foili,Astolfo (Fate/Apocrypha),1
13,7,Anya (Spy x Family),Gisun,Jousipyssy,Nico Nico Douga,Pyra (Xenoblade Chronicles 2),J-Pop,2
14,7,Bakemonogatari,Kuriboh,Tifoni,KyoAni,Fox-girl,Harajuku,2
15,8,Narutomaki,Raivo,Ufonokka,AI,Pinssi,Gobliini,4
16,8,Gaming,Crunch,Fate/Grand Order,Ramen-keitto,Spoilerit,Noob,4
17,9,Kunai,Heijastin,Suzaku (Code Geass),Wrath (Fullmetal Alchemist),JustChatting,Eväsretki,2
18,9,Artbook,Trigger,Soul Eater,Kerho-ilta,Yen,Josei,1
19,10,InsertCoin,Koululaukku,Lani,Inumimi,Intohimo,Miekka,1
20,10,Valkosipuli,Päättäjäiset,Casual,Kuumaliima,Vartija,Bleach,4
21,11,Bossi,Wit Studio,Jiggle physics ,Banjo-Kazooie (Banjo-Kazooie),Monsteri,E-urheilu,6
22,11,Ex-Arm,Slice of life,WataMote,Usagimimi,Lolita (muoti),Karaoke,1
23,12,Seifuku,Mori Calliope,A-1 Pictures,Mushoku Tensei: Jobless Reincarnation,Booba,Kaupunki tuhoutuu,3
24,12,Azusa (K-On!),Serveri,Chocobo,Gintama,Season,Sword art online,5
25,13,Mustasukkaisuus,Log Horizon 2,Mahou Shoujo,Fantasiahahmo,Chibi,Valokuva,6
26,13,Boba,Rekka-kun,Maanjäristys,Pörrö,Fox McCloud (Star Fox),Kosto,4
27,14,Coni,Mascot,Gashapon,Vampyyri,Namco,Meidokahvila,6
28,14,Merimiespuku,Itachi (Naruto),Musta maagi,Kuplatee,Mob Psycho 100,Wasabi,5
29,15,Possu,Pekora,Gabumon (Digimon),Overpowered,Kallen (Code Geass),Mello (Death Note),2
