nouseva numero,kortin numero,sana1,sana2,sana3,sana4,sana5,sana6,random numero
1,1,Asobi Asobase: Workshop of Fun,Haruno Sakura (Naruto),Dieselpunk,Kuningatar,Päättäjäiset,Riita,4
2,1,Artifakti,Discord,Shôyu,Ayaya~,Inventory,Studio,2
3,2,Tifa Lockhart (Final Fantasy VII),Emilia (Re:Zero),Rerun,UwU,Hunter x Hunter,DARLING in the FRANXX,2
4,2,Digivolve,Shikanoko Nokonoko Koshitantan,John Smith,Nakama,Kilta,A-1 Pictures,4
5,3,Yakiniku,Wanha Satama,Studio Pierrot,Superchat,Glitsi,Huvipuisto,1
6,3,Rival,Passi,Frieren: Beyond Journey's End,Re:ZERO -Starting Life in Another World,Tulikärpästen hauta,Käsityö,4
7,4,Za Warudo,Uusivuosi,Hero (Dragon Quest),Mello (Death Note),Centaur,Sailor Fuku,5
8,4,Energy,Kawaii,Tanjiro (Demon Slayer),Sakamoto Days,Tatami,Kokuhaku,4
9,5,Lucina (Fire Emblem),Karkotus,Ihmissusi,Happi (vaate) ,Striimimaraton,Logomo,3
10,5,Leafeon,Filtteri,Joseph Joestar (JoJo's),Shibuya,Hiroshima,Ki,3
11,6,Sanji (One Piece),Saitama,Resin,Overpowered,Animal Crossing,Giga-Chad,2
12,6,Con-Rutto,Kizuna AI,Yamete Kudasai,Ghost Stories,RPG,Alkemia,4
13,7,Himmel (Frieren),Kana,Laukku,Nani,Energiajuoma,Rentoutuminen,6
14,7,Hypecon,Zombie,Eris Boreas Greyrat (Mushoku Tensei),Cancel,Lawson,Kyyneleet,4
15,8,Kasane Teto (Vsynth),Akryylimaalit,Powercreep,Venti (Genshin Impact),Tensei,Kerho-Ilta,2
16,8,Kuuriimut,Usagimimi,Itadakimasu,Light Yagami (Death Note),Paras Ystävä,Onigiri,3
17,9,Kirito (Sword Art Online),Omikuji,Ace (One Piece),Pyra (Xenoblade Chronicles 2),Kanbaru (Bakemonogatari),Topias (PJ) ,2
18,9,Pehmolelu,Toradora!,Striimaaja,Vihreä Tee,Lentävä Sirkkeli,Epäonnistuminen,5
19,10,Dystopia,Espeon,Kirby,Azusa (K-On!),Robin (One Piece),Klaani,5
20,10,Psycho-Pass,Zoro (One Piece),Ravintola,Uni,Sushi,Teriyaki,6
21,11,Made in Abyss,Suuret Silmät,Hammasharjakohtaus,Sentô,Waluigi (Super Mario),Garurumon (Digimon),2
22,11,Vaihto-Oppilas,Chûnibyo,Pegasus (Yu-Gi-Oh!),Chûhai,Manga-Pokkari,Isabelle (Animal Crossing),3
23,12,Kawaii Desu Ne,Rimuru Tempest (Tensura),Namco,Donkey Kong (Nintendo),Post-Con Depression,Gluttony (Fullmetal Alchemist),4
24,12,Aatelisto,Shinto,Kissabussi,Ganyu (Genshin Impact),The Seven Deadly Sins,Rankki,5
25,13,Ryuk (Death Note),Uintikilpailu,Zen,Mori Calliope,Vastaus-Suklaa,Kazuya (Tekken),5
26,13,Chibicon,Transformation,All Might (My Hero Academia),Henti,Darra,Anya (Spy x Family),4
27,14,Sega,Shinigami,Yleisö,Tanssipeli,Suzaku Kururugi (Code Geass),Envy (Fullmetal Alchemist),6
28,14,Klikkiotsikko,Badge,Riza Hawkeye (Fullmetal Alchemist),MiniStop,Hax,Twitter,1
29,15,Guild Reward,Tekken,Taikasauva,Kimono,Tubettaja,Sailor Moon,6
30,15,J-Pop,Villager,Suklaa,Lo-Fi,Kausi,Tournament Arc,2
31,16,Cheat skill,Kritti,Denji (Chainsaw Man),Poyo,Initial D,Takoyaki,6
32,16,PC,My Hero Academia,Nen,Karaoke,JustChatting,Robin (HSR),4
33,17,Demon Lord,Ganbare,Tamperetalo,Nyancat,Dremeli,Titaani,4
34,17,Katana,Pelistriimi,Fuwa Fuwa Time,Ironmouse,Lurkkaaja,Anime-ilta,6
35,18,Tonberry (Final Fantasy),Monster of the Week,Kissa-tyttö,Taikuus,Zenless Zone Zero,Mirin,1
36,18,Level up,Futon,Amber (Genshin Impact),Franky (One Piece),Greed (Fullmetal Alchemist),Nauta,5
37,19,Kikatusta,Mappa,Foili,L (Death Note),Hu Tao (Genshin Impact),Wario (Super Mario),3
38,19,Kill la Kill,Prinsessa,White Day,Otaku,Shônen,Nekomimi,2
39,20,Tankôbon,Meidokahvila,Tulivuori,Slice of Life,Ellen (Zenless Zone Zero),Violet Evergarden,2
40,20,Tanto Cuore,Origami,Mortal Combat,Keräily,Fuji,Maid,3
41,21,Super Sayan,OP,Yui (K-On!),Liikkuva linna,Kumarrus,Azumanga Daioh,3
42,21,Eväsretki,Seikkailija,Wasabi,Pohjamaali,Kunai,Kigurumi,3
43,22,Tsundere,Areena,EVA (Evangelion),Wailmer,Kilpi,Overlord,3
44,22,Log Horizon 2,Teppanyaki,Mythra (Xenoblade Chronicles 2),GameOver,Kirsikankukat,Coni,1
45,23,Hollow (Bleach),Ayanami Rei (Evangelion),Arknights,Miekka,Miso,Kallen Stadtfeld (Code Geass),6
46,23,Botti,Wotagei,Pochita (Chainsaw Man),Wallscroll,Stamina,Virtuaalitodellisuus,6
47,24,MaiMai,Bannivasara,Yen,Levi (Attack on Titan),Fani,Prinssi,3
48,24,Kuplatee,Gyoza,Nico Nico Ni~,Demon Slayer,Graffiti-Seinä,Monster-Girl,4
49,25,Tadaima,Alkemisti,Clannad: After Story,Valvominen,Relic,Meemi,3
50,25,Hachikuji (Bakemonogatari),Viisumi,Hovi,Spice and Wolf,Agumon (Digimon),Naruto Shippûden,5
51,26,Meta Knight (Kirby),Wolf (Star Fox),Law (One Piece),Mochi,Kuningas,Kagebunshin,6
52,26,Intohimo,Maailmanpyörä,Fullmetal Alchemist: Brotherhood,Tsukimi,Pelaaminen,Shôjo,6
53,27,Fanfiction,Piilolinssit,Kätkijät,Para Para,Juonittelu,Charles (Code Geass),3
54,27,Kurapika (HxH),Vinland Saga,Wanderer (Genshin Impact),Senpai,Mana,Hikikomori,5
55,28,Lonkerot,Yôkai,Avaimenperä,Bleach,Son Goku,Vaporeon,6
56,28,Roxy Migurdia (Mushoku Tensei),Animekerho,Filleriepisodi,Laneilla,Mahô Shôjo,Nintendo,6
57,29,Elfen Lied,Krapula,Gintama,Dragon Ball,Anby (Zenless Zone Zero),Mugi-Cha,5
58,29,Don Quijote,Hype,Fire Force,Dango,Ystävänpäivä,Kaworu Nagisa (EVA),1
59,30,Kissojen valtakunta,Sinihiuksinen Hahmo,Shibuya Crossing,Luffy Gear 5 (One Piece),Roolipeli,Steins Gate,2
60,30,Gurren Lagann,Suuttumus,Raiden Shogun (Genshin Impact),Pehmeys,Haarniska,Tulinen,1
61,31,Koiraihminen,Leffa-Ilta,Mio (K-On!),Darker than Black,Zhongli (Genshin Impact),Automail,4
62,31,Twiitti,Yleisö Cheerbaa,Dolphin,Sankari,Pizza Hut,Sapporo,6
63,32,FamilyMart,Mangaka,Roy Mustang (Fullmetal Alchemist),Albedo (Overlord),Ramen,Cardcaptor Sakura,5
64,32,Kaido (One Piece),Peruukki,S-Rank,Genshin Impact,Sadekausi,Androidi,1
65,33,Kilpailija,Buffi,Ilotulitus,Uusi rakkaus,Elricin Veljekset,Berserk,2
66,33,Värilinssit,Mermaid,Okaeri,Gaara (Naruto),Weathering With You,Tapahtuma,1
67,34,Harajuku,Soul Eater,Ompelu,Subi,Ritsu (K-On!),Sakura,2
68,34,Strong Zero,Tomodachi-Choco,Puella Magi Madoka Magica,Sylveon,Ritari,Aqua (KonoSuba),2
69,35,Dogeza,Spoilerit,Limu,Aamupala,Kosto,Meitantei Conan,2
70,35,Ilta-Hengailu,Vehnätee,Tuomarit,Jujutsu Kaisen,Kamikaze,Fantasiahahmo,6
71,36,Lopunny,Musiikki,Akvaario,Ranked,InsertCoin,Reinkarnaatio,4
72,36,Syömäpuikot,Slime,Osaka,Digimon,Klee (Genshin Impact),Smurffi,5
73,37,Kabuki,Hiekkapaperi,Kyon (Haruhi Suzumiya),Esports,Whitebeard (One Piece),Akira Kurosawa,3
74,37,Valokuvaus,5-tähden,Exodia (Yu-Gi-Oh!),Homunculus,KonoSuba,Yleisön Suosikki,1
75,38,Crane Game,Scaramouche (Genshin Impact),Suzume,Oolong,Dr. Pepper,Gawr Gura,1
76,38,Kohu,Onsen,Some,Nya,Parasyte: The Maxim,Crunchyroll,2
